Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Brunei,Import,  All Products,Import (US$ Thousand),109.84,184.316,298.367,314.411,343.45,455.118,832.119,225719.274,234093.622,325861.483,489037.009,207130.375,704926.862,939257.961,766063.742,942652.699,607783.371,461960.205,595323.571724763,591200.707124373,581368.775336213,422894.373617918,472754.517233717
India,Bulgaria,Import,  All Products,Import (US$ Thousand),38737.866,12354.16,15648.596,7976.63,10894.53,17920.707,22557.152,39607.535,83421.632,90008.982,31118.72,51721.915,97483.02,77791.448,89880.51,108593.555,88594.952,121651.367,199121.36395444,155074.00351989002,137681.385215808,127757.645593135,133948.726452895
India,Burkina Faso,Import,  All Products,Import (US$ Thousand),12818.795,11217.213,12225.071,10412.472,11395.361,9185.094,2349.286,4845.297,15640.098,45716.059,5803.273,3227.205,19868.205,13213.539,17162.519,80506.471,276156.609,175800.173,647802.436503289,786261.2885085109,683012.570009719,340356.67200178804,523430.8170488
India,Burundi,Import,  All Products,Import (US$ Thousand),,76.968,65.854,,38.514,694.846,36.764,,1676.108,848.845,739.233,219.181,735.798,415.736,129.633,288.822,161.196,1222.356,10958.377709311699,15071.8381073982,2530.532859078,1532.7224823638,40.173153576
India,Cambodia,Import,  All Products,Import (US$ Thousand),246.295,1269.76,1111.309,683.599,305.858,233.821,424.82,1482.18,1244.598,4270.562,3744.972,7638.321,8407.364,10128.505,12794.359,16424.955,42988.881,43212.592,47882.3771498105,59997.6070269322,46587.285944017,38186.4602853171,75952.1360497002
India,Cameroon,Import,  All Products,Import (US$ Thousand),9496.624,8757.786,7908.561,6654.487,10086.578,10837.448,8411.733,9767.316,17253.208,32479.169,61410.589,209615.589,322591.781,502629.976,291288.736,577990.714,744370.801,428991.475,212250.43412672,405963.859340693,427106.274407129,356693.076583495,481287.039683324
India,Canada,Import,  All Products,Import (US$ Thousand),382094.212,400624.611,516602.295,568735.903,564826.835,792202.377,975744.85,1245980.879,2005078.601,2332252.65,2302975.253,2065959.35,2297102.02,2561282.763,3005949.593,3747635.638,3844145.209,3646860.723,4844236.75876641,4320124.48240907,3900626.7396215904,2744680.32013653,2715579.81579373
India,Cape Verde,Import,  All Products,Import (US$ Thousand),,,,,,,1.757,205.251,2.599,346.543,125.344,1563.83,2790.084,3179.712,3976.478,2563.392,3111.281,1766.632,2730.61216734678,3780.54228434256,2202.805535077,1607.2922494184,4253.70593755305
India,Cayman Islands,Import,  All Products,Import (US$ Thousand),,,,,,3.907,0.929,108.603,25.077,150101.313,1435.794,25.696,2.451,5.151,13.133,0.308,0.178,18.91,5229.50615724591,2266.23212653856,847.2010344665,1188.0068206017002,85171.89755956609
India,Central African Republic,Import,  All Products,Import (US$ Thousand),,44.188,4692.61,,80.514,269.55,257.94,411.304,1029.362,2766.025,681.237,956.308,1967.469,2413.536,1141.622,580.052,631.19,630.625,2232.50961671865,15335.981746386999,751.5148360125,235.27129789330002,53.5884342531
India,Chad,Import,  All Products,Import (US$ Thousand),,,,1769.281,3503.261,1296.563,331.796,152.11,887.503,3969.831,3998.626,557.032,154.284,5579.397,131775.855,14746.303,369163.454,140606.766,86913.0901369871,628040.263738835,254614.87922992502,115840.687955546,3307.49410162185
India,Chile,Import,  All Products,Import (US$ Thousand),85960.03,68646.896,74624.064,126302.67,174871.04,309032.805,377800.956,1540135.745,1885488.413,1746702.162,888807.099,1566843.576,1829047.013,2495845.012,3241990.814,3183787.993,2158109.566,1218361.414,1698030.80845513,2283347.7325335,1139511.04669718,853333.471890011,1215965.9540901
India,China,Import,  All Products,Import (US$ Thousand),1294882.952,1477580.01,1827549.4,2619849.261,3615125.641,6051256.736,10167061.141,15639063.508,24575771.746,31586024.206,30613370.69,41249115.786,55483025.359,54140455.371,51635443.599,58230546.31,61604426.747,60483103.314,71922747.8176351,90398343.27413839,68402092.5624841,58798824.676803,87535135.6849443
India,Christmas Island,Import,  All Products,Import (US$ Thousand),135.61,63.121,10.944,,,36.315,67.39,,627.598,658.538,6449.634,138.74,19.265,78.063,58.528,49.256,42.12,17.564,653.33040091866,,15.15476099025,1.985931968,33.72553610025
India,Cocos (Keeling) Islands,Import,  All Products,Import (US$ Thousand),,,,49.848,,,,,15.452,42.946,,27.506,47527.841,,,1.178,,,4.6864980775800005,4.3825984166400005,,,
India,Colombia,Import,  All Products,Import (US$ Thousand),2777.424,3642.224,10833.915,5506.166,10134.576,7943.591,12359.354,59647.269,95703.15,22048.584,336723.511,765599.908,713424.626,1243124.019,4293644.287,3564933.0,869955.604,476320.024,648953.6544189231,1155837.69430274,720201.529571792,1158802.5595215599,2705936.22453793
India,Comoros,Import,  All Products,Import (US$ Thousand),,0.033,589.012,379.722,596.809,258.178,1002.79,5850.012,3476.791,617.248,449.748,8153.738,2616.494,5692.134,7457.695,12291.741,12903.133,23087.133,28253.4257917615,53223.0928909432,18855.315672823002,19078.6687802489,13739.9514806965
India,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),185.893,281.61,121.48,,95.825,1291.554,5171.395,18670.398,17121.619,114315.613,137747.303,11910.195,6013.895,19932.584,24146.379,118257.795,103148.515,60045.664,216931.52735226302,81032.60518699061,28980.389637710003,14794.080248360398,15349.2432988656
India,"Congo, Rep.",Import,  All Products,Import (US$ Thousand),976.766,8797.665,1959.597,2722.913,4294.318,15468.2,40898.762,53961.153,84921.137,500105.574,449990.038,645235.609,109569.015,626001.069,91724.631,266348.957,304891.44,143342.476,142014.137590941,457285.352835893,641829.1508392,244248.563637501,769039.433655519
India,Cook Islands,Import,  All Products,Import (US$ Thousand),,,,5.755,,,7.659,12.939,2.802,0.452,,80.424,37.013,,,2.736,,,,19.61916623008,,33.5519655815,
India,Costa Rica,Import,  All Products,Import (US$ Thousand),889.251,661.817,1022.691,4190.854,13916.396,37891.536,32213.915,47936.998,87232.757,61922.737,92280.307,102320.215,159735.922,219798.266,220078.08,183818.042,68750.624,58287.26,68272.1465120503,57702.3430152104,51421.739651033495,39124.738776150705,62695.4141330322
India,Cote d'Ivoire,Import,  All Products,Import (US$ Thousand),98015.248,123938.218,80346.656,94977.267,88162.34,157637.183,193382.87,184067.348,183424.387,294755.152,307326.663,261877.698,418974.423,442139.332,331575.52,523752.236,570766.952,448529.464,435037.631710641,595346.790309738,505657.35936483403,260778.314685646,380542.196181181
India,Croatia,Import,  All Products,Import (US$ Thousand),224.67,437.296,1282.026,881.051,7351.962,984.404,14648.132,49469.847,43155.119,8046.717,15727.896,43193.75,29899.043,14200.708,10522.664,28325.159,26482.587,28943.977,32157.5648209325,49952.764289288294,56566.2899345827,31845.7930666491,72120.1910910823
India,Cuba,Import,  All Products,Import (US$ Thousand),4612.537,4617.654,4980.577,3730.499,892.605,2806.494,2499.004,1895.056,927.861,13292.259,1439.344,1073.066,3300.78,3860.853,2632.431,1195.193,1521.937,1179.203,2033.15495877864,4517.517399602079,2611.43194921875,70459.41478425551,1408.86794307555
India,Curaçao,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,52043.133,15789.451,3623.387,9936.364,14614.49,111749.275,8345.15916673104,9416.05707774992,25577.2189983555,4703.0802789833,9648.437833627799
India,Cyprus,Import,  All Products,Import (US$ Thousand),1956.469,1979.252,2170.413,6033.209,2956.424,4498.117,5090.275,32914.654,8134.268,137426.457,143772.793,19203.633,21998.916,20855.99,20677.178,21165.696,50087.477,67237.0,12220.586060565,32582.7711229632,398154.996123885,56087.6541885387,73599.0103241121
India,Czech Republic,Import,  All Products,Import (US$ Thousand),39654.314,37476.795,37723.228,73030.107,99914.48,158618.366,223743.306,339072.624,371232.412,568870.01,480944.996,622178.558,727090.97,700326.336,546885.501,505561.828,524379.255,530210.024,630258.159416622,482970.23589430796,266552.584939436,365815.727385332,576373.496492602
India,Denmark,Import,  All Products,Import (US$ Thousand),136152.222,116997.161,150864.929,128406.531,189719.854,266632.957,360591.422,497656.011,404327.367,506091.011,603083.856,440918.205,596494.446,522871.23,490192.34,453403.965,411172.611,476699.679,519424.632592355,676059.696387884,620170.5466741311,574420.91558038,667448.469806407
