Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
India,Botswana,Export,  All Products,Export (US$ Thousand),,4783.716,5256.247,3815.497,4958.165,6888.52,11646.378,12363.684,13649.04,23308.966,21069.485,34497.025,45370.231,54116.906,59307.661,50544.69,44991.472,73557.56,96760.05262881669,145588.89218033,196404.99371486602,149346.04553805,268360.424343406
India,Brazil,Export,  All Products,Export (US$ Thousand),135777.48,192288.207,230498.296,361176.832,388209.249,541043.616,969811.754,1498120.976,1899789.995,3250049.801,1781931.185,3669558.111,5391310.109,6162711.654,6111835.66,7140521.869,3099148.015,2300194.955,2867436.33372571,3576959.56121205,4113988.0542972498,3675781.05953733,6262205.22559845
India,British Virgin Islands,Export,  All Products,Export (US$ Thousand),289.161,442.521,202.749,155.936,2237.35,195.343,560.628,760.548,410.75,373.989,115764.261,206.549,1114.694,536.972,519.212,411.415,942.519,588.131,628.75858640196,10686.4392533798,380.76983449149,347.86641946992,381.0039371496
India,Brunei,Export,  All Products,Export (US$ Thousand),1301.458,3056.897,2210.375,4649.185,4863.002,4956.422,4395.0,44462.253,8814.336,17154.636,25301.688,21239.122,870605.991,33395.531,40253.155,42478.62,30391.574,37447.855,48027.0617658868,66300.8995870901,56810.177402542504,60050.926188683196,48524.057833361796
India,Bulgaria,Export,  All Products,Export (US$ Thousand),7386.216,9171.362,9884.441,9999.325,13419.789,34395.084,20940.507,35443.626,63356.386,76399.987,50694.53,60684.684,103368.129,140382.698,189451.992,231446.88,183317.491,226822.407,152197.095506961,193910.90989865802,165574.75022717402,149794.644287986,227390.310729179
India,Burkina Faso,Export,  All Products,Export (US$ Thousand),4413.935,5513.844,7859.303,16456.596,22848.609,17406.075,22230.368,18020.144,21138.066,53092.536,37601.078,36505.876,79439.535,79564.045,113716.464,113898.727,99019.831,120131.228,140705.62333720698,167190.39315874001,169288.193343472,189309.310042294,200319.426544368
India,Burundi,Export,  All Products,Export (US$ Thousand),1500.261,2521.582,3191.38,4401.117,4656.662,6116.755,10341.184,8650.463,7996.853,11839.067,11369.739,17247.999,21267.783,31994.019,33655.434,30823.547,29764.342,30196.791,44537.4936551456,43356.288248103,56704.7521465107,64240.343721628895,61799.11602831
India,Cambodia,Export,  All Products,Export (US$ Thousand),7900.189,7885.584,10544.804,16969.067,20270.011,16753.599,21350.406,48089.143,44826.181,53853.828,41564.206,61045.949,89567.147,110084.585,136765.091,154065.128,145346.062,109282.945,120309.416763767,179178.33912623598,204000.010185965,144042.57804793998,193789.92588892402
India,Cameroon,Export,  All Products,Export (US$ Thousand),6180.786,9395.354,11996.355,20242.179,21972.721,21053.489,35857.665,67767.827,73919.062,94684.27,69118.058,112959.022,167852.457,240184.325,308834.665,230965.431,212609.638,153853.635,191845.328665595,164973.877240167,216383.348162247,253899.868805734,390835.60534697905
India,Canada,Export,  All Products,Export (US$ Thousand),581467.165,643398.466,576740.487,686050.971,721768.104,824650.408,991106.837,1124705.174,1183970.931,1380024.922,1172273.267,1251410.125,1876570.146,2013612.639,2306880.412,2166283.624,2081218.738,1970163.41,2316419.82222365,2791064.16265661,2901550.2654569503,2812148.02578544,3557180.31986797
